Enconter Code,Number of Players,DMG difficulty,DMG xp,Balanced 1 ave success,Balanced 1ave damage,Balanced 2 ave success,Balanced 2ave damage,Unbalanced 1 ave success,Unbalanced 1ave damage,Unbalanced 2 ave success,Unbalanced 2ave damage,Random ave success,Randomave damage
LA,5,Hard,400,1.0,0.3076923076923077,1.0,0.7222222222222222,1.0,0.5882352941176471,1.0,0.12280701754385964,1.0,0.7454545454545455
LB,5,Easy,150.0,1.0,0.07692307692307693,1.0,0.07407407407407407,1.0,0.0,1.0,0.0,1.0,0.0
LC ,5,Medium,300,1.0,0.0,1.0,0.1111111111111111,1.0,0.37254901960784315,1.0,0.17543859649122806,1.0,0.0
LD,5,Deadly,600,1.0,0.8076923076923077,0.0,1.2222222222222223,0.0,1.5098039215686274,1.0,1.0350877192982457,0.0,1.2
R5E01,5,Easy,150,1.0,0.038461538461538464,1.0,0.14814814814814814,1.0,0.8431372549019608,1.0,0.0,1.0,1.1272727272727272
R5E02,5,Easy,112.5,1.0,0.09615384615384616,1.0,0.8888888888888888,1.0,0.0,1.0,0.10526315789473684,1.0,0.0
R5E03  ,5,Easy,75.0,1.0,0.0,1.0,0.24074074074074073,1.0,0.2549019607843137,1.0,0.15789473684210525,1.0,0.12727272727272726
R5E04  ,5,Easy,75.0,1.0,0.19230769230769232,1.0,0.2222222222222222,1.0,0.17647058823529413,1.0,0.0,1.0,0.03636363636363636
R5E05  ,5,Easy,112.5,1.0,0.0,1.0,0.0,1.0,0.21568627450980393,1.0,0.07017543859649122,1.0,0.7454545454545455
R5E06 ,5,Easy,112.5,1.0,0.057692307692307696,1.0,0.5185185185185185,1.0,0.0,1.0,0.14035087719298245,1.0,0.0
R5E07 ,5,Easy,112.5,1.0,0.0,1.0,0.2962962962962963,1.0,0.09803921568627451,1.0,0.08771929824561403,1.0,0.0
R5E08 ,5,Easy,112.5,1.0,0.0,1.0,0.2962962962962963,1.0,0.0,1.0,0.017543859649122806,1.0,0.01818181818181818
