Encounter Code,Number of Players,DMG difficulty,DMG xp,Balanced 1 ave success,Balanced 1ave damage,Balanced 2 ave success,Balanced 2ave damage,Unbalanced 1 ave success,Unbalanced 1ave damage,Unbalanced 2 ave success,Unbalanced 2ave damage,Random ave success,Randomave damage
LA,5,Hard,400,1.0,0.24807692307692303,0.9,0.4981481481481481,0.9,0.44901960784313727,1.0,0.4807017543859649,0.8,0.629090909090909
LB,5,Easy,150.0,1.0,0.14038461538461539,1.0,0.12407407407407409,1.0,0.13137254901960785,1.0,0.045614035087719294,1.0,0.2963636363636364
LC ,5,Medium,300,1.0,0.1653846153846154,1.0,0.15925925925925927,1.0,0.18627450980392152,1.0,0.11228070175438595,1.0,0.17636363636363636
LD,5,Deadly,600,1.0,0.47307692307692306,0.6,0.9962962962962963,0.3,1.16078431372549,0.6,0.850877192982456,0.5,1.0545454545454545
R5E01,5,Easy,150,1.0,0.13653846153846155,1.0,0.20370370370370372,1.0,0.28823529411764703,1.0,0.13684210526315788,1.0,0.09818181818181819
R5E02,5,Easy,112.5,1.0,0.025,1.0,0.02222222222222222,1.0,0.14705882352941177,1.0,0.05614035087719298,1.0,0.13818181818181818
R5E03  ,5,Easy,75.0,1.0,0.04615384615384616,1.0,0.03518518518518519,1.0,0.11568627450980391,1.0,0.05263157894736842,1.0,0.05818181818181818
R5E04  ,5,Easy,75.0,1.0,0.04807692307692307,1.0,0.09999999999999999,1.0,0.11568627450980393,1.0,0.04912280701754386,1.0,0.07272727272727272
R5E05  ,5,Easy,112.5,1.0,0.015384615384615385,1.0,0.07407407407407407,1.0,0.0784313725490196,1.0,0.02807017543859649,1.0,0.02909090909090909
R5E06 ,5,Easy,112.5,1.0,0.03461538461538462,1.0,0.08333333333333333,1.0,0.025490196078431372,1.0,0.15614035087719297,1.0,0.1709090909090909
R5E07 ,5,Easy,112.5,1.0,0.013461538461538464,1.0,0.005555555555555555,1.0,0.023529411764705882,1.0,0.021052631578947368,1.0,0.021818181818181816
R5E08 ,5,Easy,112.5,1.0,0.0,1.0,0.02777777777777778,1.0,0.03137254901960784,1.0,0.014035087719298244,1.0,0.010909090909090908
R5E09 ,5,Easy,112.5,1.0,0.08846153846153847,1.0,0.03518518518518519,1.0,0.12156862745098038,1.0,0.0982456140350877,1.0,0.16363636363636364
R5E10,5,Easy,112.5,1.0,0.0,1.0,0.0,1.0,0.10784313725490198,1.0,0.02456140350877193,1.0,0.02909090909090909
R5M01 ,5,Medium,200,1.0,0.015384615384615385,1.0,0.016666666666666666,1.0,0.021568627450980392,1.0,0.008771929824561403,1.0,0.014545454545454545
