Enconter Code,Number of Players,DMG difficulty,DMG xp,Balanced 1 ave success,Balanced 1ave damage,Balanced 2 ave success,Balanced 2ave damage,Unbalanced 1 ave success,Unbalanced 1ave damage,Unbalanced 2 ave success,Unbalanced 2ave damage,Random ave success,Randomave damage
LA,5,Hard,400,1.0,0.26153846153846155,1.0,0.31296296296296294,0.8,0.7803921568627451,1.0,0.33157894736842103,0.8,0.62
LB,5,Easy,150.0,1.0,0.08461538461538462,1.0,0.14074074074074075,1.0,0.13137254901960788,1.0,0.15614035087719297,1.0,0.2672727272727273
LC ,5,Medium,300,1.0,0.07884615384615384,1.0,0.17037037037037037,1.0,0.16862745098039217,1.0,0.19649122807017544,1.0,0.27999999999999997
LD,5,Deadly,600,1.0,0.5961538461538461,0.7,0.8481481481481481,0.2,1.2705882352941178,0.5,0.8526315789473685,0.5,0.9527272727272725
R5E01,5,Easy,150,1.0,0.12115384615384617,1.0,0.15,1.0,0.36470588235294127,1.0,0.12456140350877191,1.0,0.14
R5E02,5,Easy,112.5,1.0,0.028846153846153844,1.0,0.0962962962962963,1.0,0.17058823529411765,1.0,0.05263157894736842,1.0,0.12545454545454543
R5E03  ,5,Easy,75.0,1.0,0.038461538461538464,1.0,0.0611111111111111,1.0,0.10392156862745099,1.0,0.047368421052631574,1.0,0.08181818181818182
R5E04  ,5,Easy,75.0,1.0,0.075,1.0,0.11666666666666665,1.0,0.06274509803921569,1.0,0.05964912280701754,1.0,0.1
R5E05  ,5,Easy,112.5,1.0,0.01730769230769231,1.0,0.059259259259259255,1.0,0.05490196078431373,1.0,0.02456140350877193,1.0,0.02727272727272727
R5E06 ,5,Easy,112.5,1.0,0.07307692307692308,1.0,0.06296296296296296,1.0,0.21176470588235294,1.0,0.09122807017543859,1.0,0.2581818181818182
R5E07 ,5,Easy,112.5,1.0,0.021153846153846155,1.0,0.009259259259259259,1.0,0.021568627450980392,1.0,0.02631578947368421,1.0,0.04727272727272727
R5E08 ,5,Easy,112.5,1.0,0.0,1.0,0.0,1.0,0.02156862745098039,1.0,0.008771929824561403,1.0,0.0
R5E09 ,5,Easy,112.5,1.0,0.057692307692307696,1.0,0.03333333333333334,1.0,0.13137254901960788,1.0,0.05964912280701754,1.0,0.1
R5E10,5,Easy,112.5,1.0,0.01730769230769231,1.0,0.009259259259259259,1.0,0.0607843137254902,1.0,0.007017543859649122,1.0,0.0
R5M01 ,5,Medium,200,1.0,0.011538461538461539,1.0,0.012962962962962963,1.0,0.03137254901960784,1.0,0.0,1.0,0.021818181818181816
R5M02 ,5,Medium,225.0,1.0,0.06923076923076923,1.0,0.2444444444444444,0.9,0.4705882352941176,1.0,0.06666666666666665,1.0,0.3054545454545455
R5M03  ,5,Medium,225.0,1.0,0.14038461538461539,1.0,0.046296296296296294,1.0,0.15098039215686274,1.0,0.08070175438596491,1.0,0.22727272727272724
R5M04 ,5,Medium,225.0,1.0,0.023076923076923078,1.0,0.07407407407407407,1.0,0.1411764705882353,1.0,0.042105263157894736,1.0,0.13090909090909092
R5M05 ,5,Medium,250,1.0,0.0,1.0,0.01111111111111111,1.0,0.043137254901960784,1.0,0.0,1.0,0.08727272727272728
R5M06 ,5,Medium,187.5,1.0,0.03653846153846154,1.0,0.04814814814814815,1.0,0.1647058823529412,1.0,0.03333333333333333,1.0,0.13636363636363635
R5M07 ,5,Medium,200,1.0,0.0,1.0,0.0,1.0,0.05490196078431373,1.0,0.0,1.0,0.0
R5M08,5,Medium,187.5,1.0,0.026923076923076928,1.0,0.016666666666666666,1.0,0.029411764705882353,1.0,0.0,1.0,0.034545454545454546
R5M09 ,5,Medium,250,1.0,0.03461538461538462,1.0,0.10185185185185183,1.0,0.20392156862745098,1.0,0.02982456140350877,1.0,0.10363636363636364
R5M10 ,5,Medium,225.0,1.0,0.0,1.0,0.014814814814814814,1.0,0.03725490196078431,1.0,0.0,1.0,0.06727272727272726
R5H01 ,5,Hard,400,1.0,0.17115384615384616,1.0,0.3296296296296296,1.0,0.4960784313725489,1.0,0.21578947368421053,0.7,0.6418181818181818
R5H02 ,5,Hard,400,1.0,0.12499999999999997,1.0,0.20925925925925926,1.0,0.2156862745098039,1.0,0.13157894736842107,1.0,0.32
R5H03 ,5,Hard,350,1.0,0.007692307692307693,1.0,0.12407407407407409,1.0,0.0784313725490196,1.0,0.09824561403508772,1.0,0.23454545454545456
R5H04 ,5,Hard,375.0,1.0,0.10192307692307692,1.0,0.12777777777777777,1.0,0.22549019607843138,1.0,0.0736842105263158,1.0,0.2490909090909091
R5H05,5,Hard,400,1.0,0.0,1.0,0.009259259259259259,1.0,0.02941176470588235,1.0,0.0,1.0,0.010909090909090908
R5H06 ,5,Hard,400,1.0,0.24038461538461536,1.0,0.6185185185185186,0.9,0.7196078431372549,1.0,0.2701754385964912,0.9,0.4945454545454545
R5H07 ,5,Medium,300.0,1.0,0.13461538461538464,1.0,0.11666666666666665,1.0,0.17254901960784313,1.0,0.1807017543859649,1.0,0.1309090909090909
R5H08  ,5,Hard,400,1.0,0.15384615384615383,1.0,0.2,1.0,0.07058823529411765,1.0,0.07368421052631578,1.0,0.44727272727272727
R5H09  ,5,Medium,200,1.0,0.10769230769230768,1.0,0.10185185185185186,1.0,0.19215686274509808,1.0,0.1368421052631579,1.0,0.1618181818181818
R5H10 ,5,Hard,375.0,1.0,0.0,0.9,0.37037037037037035,1.0,0.1411764705882353,1.0,0.37543859649122807,0.9,0.29454545454545455
R5D01 ,5,Deadly,450.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.010909090909090908
R5D02 ,5,Deadly,500,1.0,0.175,0.9,0.40925925925925927,1.0,0.407843137254902,1.0,0.3280701754385965,1.0,0.3909090909090909
R5D03 ,5,Deadly,450,1.0,0.05,1.0,0.1759259259259259,1.0,0.23529411764705882,1.0,0.09824561403508772,1.0,0.2636363636363636
R5D04  ,5,Deadly,500,1.0,0.23269230769230767,1.0,0.2685185185185185,1.0,0.5980392156862745,1.0,0.29473684210526313,0.9,0.5945454545454545
R5D05 ,5,Deadly,500,1.0,0.16346153846153846,0.9,0.5277777777777777,1.0,0.6568627450980392,1.0,0.4140350877192983,1.0,0.5654545454545454
R5D06  ,5,Deadly,450,1.0,0.1326923076923077,1.0,0.23518518518518516,1.0,0.32156862745098036,1.0,0.27017543859649124,1.0,0.41999999999999993
R5D07 ,5,Deadly,500,1.0,0.326923076923077,0.9,0.5962962962962963,0.7,0.9666666666666668,1.0,0.3736842105263158,1.0,0.7109090909090909
R5D08 ,5,Deadly,450,1.0,0.3884615384615385,1.0,0.4833333333333333,0.9,0.6725490196078432,1.0,0.48245614035087725,1.0,0.7163636363636364
R5D09 ,5,Deadly,500,1.0,0.16346153846153844,1.0,0.1648148148148148,1.0,0.3803921568627451,1.0,0.07894736842105263,1.0,0.309090909090909
R5D10 ,5,Deadly,500,1.0,0.25769230769230766,0.9,0.5444444444444445,1.0,0.596078431372549,1.0,0.5105263157894736,0.9,0.6509090909090909
