Encounter Code,Number of Players,DMG difficulty,DMG xp,Num Monsters,Challenge Ratings,Balanced 1 ave success,Balanced 1 success std,Balanced 1 total damage,Balanced 1 total damage std,Balanced 1 normalized damage,Balanced 1 normalized damage std,Unbalanced 1 ave success,Unbalanced 1 success std,Unbalanced 1 total damage,Unbalanced 1 total damage std,Unbalanced 1 normalized damage,Unbalanced 1 normalized damage std
H1A01,5,Medium,250,5,"[0.125, 0.125, 0.125, 0.125, 0.125]",1.0,0.0,2.829999999999999,1.868799148226009,0.1796922257909624,0.2721153846153847,0.975,0.15811388300841897,4.205,2.868569732060266,0.2812323266725751,0.4122549019607843
H1A02,5,Medium,250,5,"[0.125, 0.125, 0.125, 0.125, 0.125]",1.0,0.0,2.3999999999999995,1.827426381413812,0.17571407513594348,0.23076923076923078,0.975,0.15811388300841897,5.715000000000001,3.571938351895731,0.35019003449958147,0.5602941176470587
H1A03,5,Medium,250,5,"[0.125, 0.125, 0.125, 0.125, 0.125]",1.0,0.0,1.0350000000000004,1.1102205833030405,0.1067519791637539,0.09951923076923079,1.0,0.0,3.5249999999999995,2.549886875318801,0.24998890934498047,0.34558823529411764
H1A04,5,Medium,250,5,"[0.125, 0.125, 0.125, 0.125, 0.125]",1.0,0.0,0.9799999999999999,1.0667948640911626,0.10257642923953486,0.09423076923076923,1.0,0.0,3.7300000000000004,2.568667219016757,0.2518301195114468,0.3656862745098039
H1A05,5,Medium,250,5,"[0.125, 0.125, 0.125, 0.125, 0.125]",1.0,0.0,0.26999999999999996,0.577439085476466,0.05552298898812173,0.025961538461538463,1.0,0.0,0.23499999999999996,0.5868429222412207,0.05753361982757066,0.023039215686274508
H1A06,5,Medium,250,5,"[0.125, 0.125, 0.125, 0.125, 0.125]",1.0,0.0,0.62,0.906726996484524,0.08718528812351194,0.05961538461538461,1.0,0.0,3.085,2.6840029424111655,0.2631375433736437,0.30245098039215684
H1B01,5,Medium,225.0,2,"[0.25, 0.5]",1.0,0.0,1.2600000000000002,1.5473384924625933,0.14878254735217242,0.12115384615384613,1.0,0.0,2.2649999999999997,1.98475600773909,0.19458392232736174,0.22205882352941173
H1B02,5,Medium,225.0,2,"[0.25, 0.5]",1.0,0.0,1.1149999999999998,1.7281307524131087,0.16616641850126046,0.10721153846153846,1.0,0.0,3.3600000000000003,2.5927710154314703,0.2541932368070069,0.32941176470588224
H1B03,5,Medium,225.0,2,"[0.25, 0.5]",1.0,0.0,1.7600000000000002,1.8168442632551303,0.17469656377453174,0.16923076923076924,0.975,0.15811388300841897,4.154999999999999,3.4111393690190663,0.3344254283352026,0.4073529411764705
H1B04,5,Medium,225.0,2,"[0.25, 0.5]",1.0,0.0,0.89,1.2889669884973383,0.12393913350935945,0.08557692307692308,1.0,0.0,1.3599999999999999,1.361899126502852,0.13351952220616192,0.1333333333333333
H1B05,5,Medium,225.0,2,"[0.25, 0.5]",1.0,0.0,0.6599999999999999,1.111432432171228,0.10686850309338732,0.06346153846153846,1.0,0.0,1.01,1.0035322232379602,0.09838551208215296,0.09901960784313725
H1B06,5,Medium,225.0,2,"[0.25, 0.5]",1.0,0.0,1.225,1.66544827260349,0.16013925698110482,0.11778846153846152,1.0,0.0,1.8,1.8596939367706555,0.18232293497751523,0.1764705882352941
WD,5,Easy,150.0,2,"[0.25, 0.25]",1.0,0.0,0.86,0.8702490065109717,0.08367778908759343,0.08269230769230772,1.0,0.0,1.9300000000000002,2.034346111792215,0.19944569723453084,0.18921568627450974
WE,5,Hard,337.5,2,"[1.0, 0.125]",1.0,0.0,0.41,0.7896120436563638,0.07592423496695806,0.03942307692307692,1.0,0.0,1.4299999999999997,2.3662368696047578,0.23198400682399586,0.14019607843137255
WF,5,Medium,200,1,[0.5],1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36000000000000004,0.8378237988674695,0.08213958812426171,0.03529411764705882
DA,5,Medium,200,4,"[0.125, 0.125, 0.125, 0.125]",1.0,0.0,0.5800000000000001,1.093383363458206,0.1051330157171352,0.05576923076923078,1.0,0.0,1.2349999999999997,1.4710104672883177,0.14421671247924683,0.12107843137254899
DB,5,Hard,400,4,"[0.25, 0.25, 0.25, 0.25]",1.0,0.0,2.575,1.9649166485877807,0.18893429313344046,0.24759615384615383,0.925,0.2667467828369185,6.905000000000001,3.7476796239943675,0.36741957097983996,0.6769607843137255
TB,5,Medium,200,4,"[0.125, 0.125, 0.125, 0.125]",1.0,0.0,1.8249999999999997,1.1950217249393096,0.11490593509031824,0.17548076923076922,1.0,0.0,2.6349999999999993,1.943767159211918,0.1905654077658743,0.25833333333333336
TD,5,Hard,400,4,"[0.25, 0.25, 0.25, 0.25]",1.0,0.0,0.99,1.1000699278472466,0.10577595460069678,0.09519230769230769,1.0,0.0,2.565,2.602912569825165,0.25518750684560443,0.25147058823529406
TE,5,Medium,200,1,[0.5],1.0,0.0,0.23499999999999996,0.6403324457074161,0.06157042747186694,0.02259615384615385,1.0,0.0,0.925,1.39646990842202,0.13690881455117845,0.09068627450980393
TF,5,Medium,250,5,"[0.125, 0.125, 0.125, 0.125, 0.125]",1.0,0.0,0.57,0.8308784353676381,0.07989215724688828,0.0548076923076923,1.0,0.0,1.6700000000000004,1.8824697361955935,0.18455585648976408,0.16372549019607846
LA,5,Hard,400,4,"[0.25, 0.25, 0.25, 0.25]",1.0,0.0,2.314999999999999,1.87008158330195,0.17981553685595672,0.2225961538461539,0.85,0.3616202853397895,6.314999999999999,4.188111991253583,0.4105992148287826,0.6191176470588233
LB,5,Easy,150.0,2,"[0.25, 0.25]",1.0,0.0,0.9100000000000001,1.1313255216326714,0.10878130015698763,0.0875,1.0,0.0,1.8099999999999994,1.8541429701741323,0.18177872256609143,0.17745098039215684
LC ,5,Medium,300,3,"[0.25, 0.25, 0.25]",1.0,0.0,1.15,1.4903105854236025,0.14329909475226948,0.11057692307692309,1.0,0.0,1.7999999999999996,2.0,0.19607843137254902,0.17647058823529413
LD,5,Deadly,600,6,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",0.975,0.15811388300841897,6.35,3.3700795090673896,0.3240461066410951,0.610576923076923,0.375,0.4902903378454601,12.770000000000003,3.0075290138635022,0.29485578567289233,1.2519607843137255
